1  number of sets, Nset
-----------------
#1  Blade structural data for HAWC2/HAWCStab2
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
arc                       m_pm                      x_cg                      y_cg                      ri_x                      ri_y                      theta_s                   x_ec                      y_ec                      K_11                      K_12                      K_13                      K_14                      K_15                      K_16                      K_22                      K_23                      K_24                      K_25                      K_26                      K_33                      K_34                      K_35                      K_36                      K_44                      K_45                      K_46                      K_55                      K_56                      K_66                      
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
$1  83 Flexible
0.000000000000E+00        2.956096206850E+03        1.444857886669E-04        1.398181935352E-05        1.368111775391E+00        1.368469421726E+00        -1.298405153455E+00       1.444801292086E-04        1.398246113537E-05        6.412523311193E+09        2.391681922041E+04        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.106594635408E+04        6.408998352197E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        8.744727969425E+04        4.000591226620E+10        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        2.246192069462E+10        -1.107119463268E-06       0.000000000000E+00        5.243855835470E+10        0.000000000000E+00        1.437523250051E+10       
1.142900000000E+00        2.592180674360E+03        -2.361346237442E-04       1.964563597700E-05        1.373403576780E+00        1.374126676166E+00        -7.034447873886E+01       -2.370224776348E-04       1.733655679218E-05        5.623394595208E+09        3.524222943947E+06        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -1.233144727062E+05       5.642574119762E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.723241888972E+04        3.517073643840E+10        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.982007250424E+10        -1.773110106340E-03       0.000000000000E+00        4.669168117662E+10        0.000000000000E+00        1.273518348273E+10       
2.200700000000E+00        1.935369168690E+03        -1.139707485153E-03       -3.475436785977E-04       1.385161545007E+00        1.385909997973E+00        -6.993626417025E+01       -1.333417929315E-03       3.348853007936E-04        4.171022942609E+09        2.637823213539E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -1.224798200463E+07       4.239693217001E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        5.044124142920E+06        2.625933663490E+10        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.486754257830E+10        -1.153714251579E-05       0.000000000000E+00        3.589436822109E+10        0.000000000000E+00        9.674041017942E+09       
3.001200000000E+00        1.483126689180E+03        -1.432568414317E-02       -4.312531840349E-03       1.408406459109E+00        1.392612532032E+00        -5.873377563713E+01       -1.468679647301E-02       1.503016514917E-03        3.096307277930E+09        8.141317014626E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -1.818491211638E+07       3.144885251430E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        7.557459461790E+06        1.950998367940E+10        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.122501830480E+10        -5.816319497695E-03       0.000000000000E+00        2.733586581350E+10        0.000000000000E+00        7.330384185081E+09       
4.100700000000E+00        9.037483274050E+02        1.919964533735E-02        -9.529250318502E-03       1.379865496597E+00        1.366855630113E+00        -5.939164909431E+01       1.911302963682E-02        -2.701384879561E-03       1.896689072315E+09        3.994094052733E+06        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -1.109180138205E+08       1.614813666205E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        6.371264293535E+07        1.015027557260E+10        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        5.746145250041E+09        1.797345550323E-02        0.000000000000E+00        1.496514487885E+10        0.000000000000E+00        3.929173977874E+09       
5.100800000000E+00        8.696112920240E+02        4.855254314905E-02        -1.017106874556E-02       1.385662829877E+00        1.404481913241E+00        -4.561616705141E+01       4.625085309091E-02        -3.662590247140E-03       1.801735146690E+09        -6.359652451981E+06       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -9.572085823435E+07       1.545647950940E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        9.712271573650E+07        9.776339397660E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        5.689172343115E+09        -5.152754698263E-03       0.000000000000E+00        1.488932130938E+10        0.000000000000E+00        3.836529905554E+09       
6.200700000000E+00        8.261561142530E+02        9.087949479559E-02        -9.513481893209E-03       1.374892897147E+00        1.464280345222E+00        -3.317574137865E+01       9.412029412908E-02        -2.955177963136E-03       1.695320945948E+09        7.518608952592E+06        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -1.192951333402E+08       1.420155229972E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.396988365444E+08        9.383542376810E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        5.535378539021E+09        -1.217707140352E-04       0.000000000000E+00        1.497203309507E+10        0.000000000000E+00        3.645279939957E+09       
6.900600000000E+00        7.951985904880E+02        1.249799840910E-01        -1.477590217532E-02       1.357372040044E+00        1.511961678322E+00        -2.665790106107E+01       1.347877026221E-01        -9.391162500799E-03       1.630794341809E+09        1.433788118385E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -1.351037846534E+08       1.307642706791E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        2.072018244065E+08        9.097661647430E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        5.355162328347E+09        2.065807800677E-03        0.000000000000E+00        1.503818147280E+10        0.000000000000E+00        3.464289013556E+09       
