1  number of sets, Nset
-----------------
#1  Blade structural data for HAWC2/HAWCStab2
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
arc                       m_pm                      x_cg                      y_cg                      ri_x                      ri_y                      x_sc                      y_sc                      E                         G                         I_x                       I_y                       I_T                       k_x                       k_y                       A                         theta_s                   x_ec                      y_ec                      
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
$1  83 Flexible
1.000000000000E-01        2.956096206850E+03        1.444857886669E-04        1.398181935352E-05        1.368111775391E+00        1.368469421726E+00        1.580819710369E-04        1.194810130672E-05        2.531190033842E+10        8.096880519896E+09        8.874055442026E-01        2.071695828981E+00        1.775403806932E+00        5.010854018792E-01        5.008100691061E-01        1.580517927588E+00        -1.298405153455E+00       1.444801292086E-04        1.398246113537E-05       
1.142900000000E+00        2.592180674360E+03        -2.361346237442E-04       1.964563597700E-05        1.373403576780E+00        1.374126676166E+00        -2.141433927081E-04       1.848712543768E-05        2.537023257458E+10        8.113434983927E+09        7.812333783688E-01        1.840412027732E+00        1.569641404043E+00        5.016725349881E-01        4.999561810307E-01        1.386299330722E+00        -7.034447873886E+01       -2.370224776348E-04       1.733655679218E-05       
2.200700000000E+00        1.935369168690E+03        -1.139707485153E-03       -3.475436785977E-04       1.385161545007E+00        1.385909997973E+00        1.846437500455E-03        2.101583927862E-04        2.431638647890E+10        7.784898738353E+09        6.114207220387E-01        1.476139074045E+00        1.242662132212E+00        5.053698822059E-01        4.950799037214E-01        1.079902914756E+00        -6.993626417025E+01       -1.333417929315E-03       3.348853007936E-04       
3.001200000000E+00        1.483126689180E+03        -1.432568414317E-02       -4.312531840349E-03       1.408406459109E+00        1.392612532032E+00        -8.282156274994E-03       2.400609284358E-03        1.895224200887E+10        6.247711761520E+09        5.922791772891E-01        1.442355252783E+00        1.173270649654E+00        4.981727507177E-01        4.722261193772E-01        1.029428796354E+00        -5.873377563713E+01       -1.468679647301E-02       1.503016514917E-03       
4.100700000000E+00        9.037483274050E+02        1.919964533735E-02        -9.529250318502E-03       1.379865496597E+00        1.366855630113E+00        8.967947614326E-02        -6.965352282407E-03       9.647120080071E+09        3.443363693774E+09        5.956332254961E-01        1.551255167826E+00        1.138466800178E+00        4.668538031476E-01        5.023831563709E-01        1.052156030852E+00        -5.939164909431E+01       1.911302963682E-02        -2.701384879561E-03      
5.100800000000E+00        8.696112920240E+02        4.855254314905E-02        -1.017106874556E-02       1.385662829877E+00        1.404481913241E+00        1.278604848929E-01        -1.140847101474E-02       9.457720980830E+09        3.337570923005E+09        6.015373423097E-01        1.574303295641E+00        1.146158119152E+00        4.824855231615E-01        4.877678089113E-01        1.033688709730E+00        -4.561616705141E+01       4.625085309091E-02        -3.662590247140E-03      
6.200700000000E+00        8.261561142530E+02        9.087949479559E-02        -9.513481893209E-03       1.374892897147E+00        1.464280345222E+00        2.155135100817E-01        2.275142630157E-03        9.270038873756E+09        3.209637345991E+09        5.971257094393E-01        1.615099278328E+00        1.128800070401E+00        4.985672055431E-01        4.603546246804E-01        1.012244123741E+00        -3.317574137865E+01       9.412029412908E-02        -2.955177963136E-03      
6.900600000000E+00        7.951985904880E+02        1.249799840910E-01        -1.477590217532E-02       1.357372040044E+00        1.511961678322E+00        3.150225079099E-01        -5.606854709451E-03       9.126631307944E+09        3.115466970727E+09        5.867622069586E-01        1.647725317852E+00        1.097711371299E+00        5.078741372114E-01        4.383063018081E-01        9.968258101443E-01        -2.665790106107E+01       1.347877026221E-01        -9.391162500799E-03      
8.100200000000E+00        7.719136570290E+02        1.205523098810E-01        -3.660713066803E-02       1.299711484451E+00        1.597757434639E+00        3.997629458457E-01        -5.242801767011E-02       8.379877010349E+09        2.782561918831E+09        5.990576756606E-01        1.847893378496E+00        1.099875403556E+00        5.086067241230E-01        4.180500227051E-01        1.053961620474E+00        -1.924007118890E+01       1.905608276634E-01        -3.113795387025E-02      
8.900000000000E+00        7.489678860730E+02        1.570479876377E-01        -3.928335416338E-02       1.257190148671E+00        1.658179070422E+00        6.026572652464E-01        -4.845063026515E-02       8.403360359899E+09        2.718545594848E+09        5.679339661644E-01        1.898087571329E+00        1.001989920012E+00        5.145996874488E-01        3.847306754060E-01        1.037880381841E+00        -1.518020976200E+01       2.390398833958E-01        -3.627343874464E-02      
1.020000000000E+01        7.073572279000E+02        2.035019244256E-01        -3.998342924687E-02       1.187034447228E+00        1.736000915608E+00        4.317463945772E-01        -1.712647350599E-01       8.431642177831E+09        2.627899346982E+09        5.079254678685E-01        1.916648630720E+00        9.972797034388E-01        5.338153768489E-01        4.018895531122E-01        1.003343890812E+00        -1.175711542619E+01       3.120815132007E-01        -4.165293413054E-02      
1.100000000000E+01        6.791752236070E+02        2.287768333167E-01        -3.695062710271E-02       1.149058494475E+00        1.759490900073E+00        7.470706787636E-01        -1.217141599499E-01       8.440797329303E+09        2.572299394339E+09        4.691416301105E-01        1.875961584821E+00        8.347855940903E-01        5.320772464923E-01        3.560506097245E-01        9.750397884354E-01        -1.069542797925E+01       3.482087043759E-01        -4.021188836242E-02      
