R       c      x/c     twist

0.1000  4.0000 0.5000 -16.7101 
1.1429  4.0003 0.5000 -16.7101 
2.2007  4.0165 0.4983 -16.7101 
3.0012  4.0804 0.4921 -16.7101 
4.1007  4.2479 0.4779 -16.7101 
5.1008  4.4500 0.4627 -16.7101 
6.2007  4.7226 0.4440 -16.7101 
6.9006  4.9242 0.4311 -16.7101 
8.1002  5.3008 0.4092 -16.7101 
8.9000  5.5443 0.3969 -16.6940 
10.2000 5.8704 0.3816 -16.4199
11.0000 6.0114 0.3745 -15.9899
11.9990 6.1150 0.3676 -15.0898
12.8990 6.1458 0.3628 -14.2339
13.9990 6.1176 0.3579 -13.2500
15.0520 6.0296 0.3541 -12.3766
15.9990 5.9159 0.3511 -11.6302
16.9460 5.7801 0.3484 -10.9197
18.1040 5.5980 0.3456 -10.1003
19.1570 5.4267 0.3432 -9.4127 
19.9990 5.2921 0.3415 -8.8949 
21.1040 5.1165 0.3392 -8.2213 
21.9470 4.9899 0.3377 -7.7496 
22.9990 4.8317 0.3356 -7.1600 
23.8990 4.7056 0.3341 -6.6696 
24.9990 4.5514 0.3322 -6.0703 
25.9470 4.4294 0.3308 -5.5633 
27.1000 4.2823 0.3291 -4.9505 
28.0000 4.1783 0.3280 -4.5050 
28.9990 4.0626 0.3266 -4.0099 
29.8990 3.9716 0.3256 -3.6139 
31.0000 3.8604 0.3243 -3.1299 
32.0000 3.7723 0.3233 -2.7348 
33.0000 3.6843 0.3223 -2.3397 
34.1000 3.5979 0.3214 -1.9714 
35.0000 3.5273 0.3206 -1.6699 
36.0000 3.4562 0.3199 -1.3949 
36.9640 3.3877 0.3191 -1.1298 
38.0350 3.3195 0.3184 -0.9178 
39.0000 3.2584 0.3177 -0.7297
40.0000 3.2002 0.3172 -0.5899
40.9640 3.1440 0.3166 -0.4551
42.0350 3.0847 0.3160 -0.3516
43.0000 3.0315 0.3155 -0.2600
43.9470 2.9817 0.3150 -0.1793
45.0000 2.9264 0.3145 -0.0897
45.9470 2.8790 0.3140 -0.0235
47.0000 2.8263 0.3135 0.0500
47.9470 2.7808 0.3131 0.1117
49.0000 2.7305 0.3126 0.1801
50.0000 2.6843 0.3122 0.2452
51.0000 2.6382 0.3118 0.3102
52.0000 2.5935 0.3114 0.3700
53.0000 2.5488 0.3110 0.4299
53.9470 2.5076 0.3106 0.4915
55.0000 2.4619 0.3102 0.5600
55.9730 2.4206 0.3099 0.6183
56.9460 2.3793 0.3095 0.6765
58.0270 2.3344 0.3091 0.7312
59.1000 2.2899 0.3087 0.7835
60.0000 2.2531 0.3083 0.8150
61.0000 2.2123 0.3080 0.8499
61.9640 2.1746 0.3076 0.8739
63.0360 2.1327 0.3072 0.9003
64.0000 2.0823 0.3067 0.9195
65.0000 2.0543 0.3064 0.9301
66.0000 2.0124 0.3060 0.9450
66.9470 1.9727 0.3057 0.9591
68.0000 1.9242 0.3053 0.9751
69.0530 1.8751 0.3048 0.9916
70.0000 1.8237 0.3044 1.0152
70.9470 1.7725 0.3041 1.0388
72.1080 1.6946 0.3036 1.0789
73.1890 1.6183 0.3031 1.1194
74.0540 1.5453 0.3027 1.1626
75.0270 1.4491 0.3023 1.2108
75.8920 1.3468 0.3019 1.2455
76.9470 1.1942 0.3015 1.2971
77.7890 1.0381 0.3011 1.3313
78.8000 0.7830 0.3006 1.3719
79.0000 0.7228 0.3000 1.3865
79.5000 0.5180 0.3000 1.4074
79.9800 0.1049 0.3000 1.4275
